ref_id,title,date,download_url
CNSSD-506,National Directive to Implement PKI on Secret Networks,19-Jan,https://www.cnss.gov/CNSS/openDoc.cfm?a=NO4T2PeEE0YdPdkNHXIoDA%3D%3D&b=8016D170590F16E832CB714E37CBA9BEE49B58E4A5721600C2B9CA21FDE42F64DBEFB7C25CA813B7FCF9DA76B80B83AF
FIPS-140-2,Security Requirements for Cryptographic Modules,1-May,https://csrc.nist.gov/pubs/fips/140-2/upd2/final
FIPS-140-3,Security Requirements for Cryptographic Modules,19-Mar,https://csrc.nist.gov/pubs/fips/140-3/final
FIPS-180-4,Secure Hash Standard (SHS),15-Aug,https://csrc.nist.gov/pubs/fips/180-4/upd1/final
FIPS-186-4,Digital Signature Standard (DSS),13-Jul,https://csrc.nist.gov/pubs/fips/186-4/final
FIPS-197,Advanced Encryption Standard (AES),1-Nov,https://csrc.nist.gov/pubs/fips/197/final
FIPS-201-2,Personal Identity Verification (PIV),13-Aug,https://csrc.nist.gov/pubs/fips/201-2/final
SP-800-111,Guide to Storage Encryption Technologies for End User Devices,7-Nov,https://csrc.nist.gov/pubs/sp/800/111/final
SP-800-131A,Transitioning Cryptographic Algorithms and Key Lengths,19-Mar,https://csrc.nist.gov/pubs/sp/800/131/a/r2/final
SP-800-132,Recommendation for Password-Based Key Derivation,10-Dec,https://csrc.nist.gov/pubs/sp/800/132/final
SP-800-137,Information Security Continuous Monitoring (ISCM),11-Sep,https://csrc.nist.gov/pubs/sp/800/137/final
SP-800-147,BIOS Protection Guidelines,11-Apr,https://csrc.nist.gov/pubs/sp/800/147/final
SP-800-37,Risk Management Framework for Information Systems,21-Apr,https://csrc.nist.gov/pubs/sp/800/37/r2/final
SP-800-53,Security and Privacy Controls for Federal IS,20-Sep,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final
SP-800-56A,"Pair-Wise Key Establishment Using Discrete Logarithm Cryptography, Rev. 3",18-Apr,https://csrc.nist.gov/pubs/sp/800/56/a/r3/final
SP-800-56B,"Pair-Wise Key Establishment Using Integer Factorization Cryptography, Rev. 2",19-Mar,https://csrc.nist.gov/pubs/sp/800/56/b/r2/final
SP-800-56C,"Key Derivation through Extraction-then-Expansion, Rev. 2",20-Aug,https://csrc.nist.gov/pubs/sp/800/56/c/r2/final
SP-800-57-1,"Key Management Part 1: General, Rev. 5",20-May,https://csrc.nist.gov/pubs/sp/800/57/pt1/r5/final
SP-800-57-2,"Key Management Part 2: Best Practices, Rev. 1",19-May,https://csrc.nist.gov/pubs/sp/800/57/pt2/r1/final
SP-800-57-3,"Key Management Part 3: Application-Specific, Rev. 1",15-Jan,https://csrc.nist.gov/pubs/sp/800/57/pt3/r1/final
SP-800-63-2,Electronic Authentication Guideline,13-Aug,https://csrc.nist.gov/pubs/sp/800/63/2/final
SP-800-77,"Guide to IPsec VPNs, Rev. 1",20-Jun,https://csrc.nist.gov/pubs/sp/800/77/r1/final
IR-7924,NIST Reference Certificate Policy (2nd Draft),14-May,https://csrc.nist.gov/files/pubs/ir/7924/ipd/docs/nistir_7924_2nd_draft.pdf
RFC-2409,The Internet Key Exchange (IKE),Nov-98,https://www.rfc-editor.org/rfc/rfc2409
RFC-3647,X.509 PKI Certificate Policy and Certification Practices Framework,3-Nov,https://www.rfc-editor.org/rfc/rfc3647
RFC-3711,The Secure Real-Time Transport Protocol (SRTP),4-Mar,https://www.rfc-editor.org/rfc/rfc3711
RFC-4252,SSH Authentication Protocol,6-Jan,https://www.rfc-editor.org/rfc/rfc4252
RFC-4253,SSH Transport Layer Protocol,6-Jan,https://www.rfc-editor.org/rfc/rfc4253
RFC-4254,SSH Connection Protocol,6-Jan,https://www.rfc-editor.org/rfc/rfc4254
RFC-4256,Generic Message Exchange Authentication for SSH,6-Jan,https://www.rfc-editor.org/rfc/rfc4256
RFC-4302,IP Authentication Header,5-Dec,https://www.rfc-editor.org/rfc/rfc4302
RFC-4303,IP Encapsulating Security Payload,5-Dec,https://www.rfc-editor.org/rfc/rfc4303
RFC-4307,Cryptographic Algorithms for IKEv2,5-Dec,https://www.rfc-editor.org/rfc/rfc4307
RFC-4308,Cryptographic Suites for IPsec,5-Dec,https://www.rfc-editor.org/rfc/rfc4308
RFC-4492,ECC Cipher Suites for TLS,6-May,https://www.rfc-editor.org/rfc/rfc4492
RFC-4754,IKE/IKEv2 Authentication Using ECDSA,7-Jan,https://www.rfc-editor.org/rfc/rfc4754
RFC-5216,EAP-TLS Authentication Protocol,8-Mar,https://www.rfc-editor.org/rfc/rfc5216
RFC-5246,TLS Protocol Version 1.2,8-Aug,https://www.rfc-editor.org/rfc/rfc5246
RFC-5280,Internet X.509 PKI Certificate and CRL Profile,8-May,https://www.rfc-editor.org/rfc/rfc5280
RFC-5288,AES-GCM Cipher Suites for TLS,8-Aug,https://www.rfc-editor.org/rfc/rfc5288
RFC-5289,TLS ECC Cipher Suites with SHA-256/384 and AES-GCM,8-Aug,https://www.rfc-editor.org/rfc/rfc5289
RFC-5424,The Syslog Protocol,9-Mar,https://www.rfc-editor.org/rfc/rfc5424
RFC-5746,TLS Renegotiation Indication Extension,10-Feb,https://www.rfc-editor.org/rfc/rfc5746
RFC-5759,Suite B Certificate and CRL Profile,10-Jan,https://www.rfc-editor.org/rfc/rfc5759
RFC-5878,TLS Authorization Extensions,10-May,https://www.rfc-editor.org/rfc/rfc5878
RFC-5903,ECP Groups for IKE and IKEv2,10-Jun,https://www.rfc-editor.org/rfc/rfc5903
RFC-5996,Internet Key Exchange Protocol Version 2 (IKEv2),10-Sep,https://www.rfc-editor.org/rfc/rfc5996
RFC-6176,Prohibiting SSL Version 2.0,11-Mar,https://www.rfc-editor.org/rfc/rfc6176
RFC-6188,Use of AES-192 and AES-256 in Secure RTP,11-Mar,https://www.rfc-editor.org/rfc/rfc6188
RFC-6239,Suite B Cryptographic Suites for SSH,11-May,https://www.rfc-editor.org/rfc/rfc6239
RFC-6379,Suite B Cryptographic Suites for IPsec,11-Oct,https://www.rfc-editor.org/rfc/rfc6379
RFC-6380,Suite B Profile for IPsec,11-Oct,https://www.rfc-editor.org/rfc/rfc6380
RFC-6668,SHA-2 Data Integrity for SSH Transport Layer,12-Jul,https://www.rfc-editor.org/rfc/rfc6668
RFC-6818,Updates to X.509 PKI Certificate and CRL Profile,13-Jan,https://www.rfc-editor.org/rfc/rfc6818
RFC-6960,X.509 OCSP,13-Jun,https://www.rfc-editor.org/rfc/rfc6960
RFC-7011,Specification of IPFIX Protocol,13-Sep,https://www.rfc-editor.org/rfc/rfc7011
RFC-7012,Information Model for IPFIX,13-Sep,https://www.rfc-editor.org/rfc/rfc7012
RFC-7030,Enrollment over Secure Transport,13-Oct,https://www.rfc-editor.org/rfc/rfc7030
RFC-7296,Internet Key Exchange Protocol Version 2 (IKEv2),14-Oct,https://www.rfc-editor.org/rfc/rfc7296
RFC-7427,Signature Authentication in IKEv2,15-Jan,https://www.rfc-editor.org/rfc/rfc7427
RFC-7465,Prohibiting RC4 Cipher Suites,15-Feb,https://www.rfc-editor.org/rfc/rfc7465
RFC-7507,TLS Fallback SCSV,15-Apr,https://www.rfc-editor.org/rfc/rfc7507
RFC-7568,Deprecating SSL Version 3.0,15-Jun,https://www.rfc-editor.org/rfc/rfc7568
RFC-7627,TLS Session Hash and Extended Master Secret,15-Sep,https://www.rfc-editor.org/rfc/rfc7627
RFC-7670,Generic Raw Public-Key Support for IKEv2,16-Jan,https://www.rfc-editor.org/rfc/rfc7670
RFC-7685,TLS ClientHello Padding Extension,15-Oct,https://www.rfc-editor.org/rfc/rfc7685
RFC-7714,AES-GCM Authenticated Encryption in SRTP,15-Dec,https://www.rfc-editor.org/rfc/rfc7714
RFC-7919,Negotiated FF DH Ephemeral Parameters for TLS,16-Aug,https://www.rfc-editor.org/rfc/rfc7919
RFC-8247,Algorithm Requirements for IKEv2,17-Sep,https://www.rfc-editor.org/rfc/rfc8247
RFC-8295,EST Extensions,18-Jan,https://www.rfc-editor.org/rfc/rfc8295
RFC-8422,ECC Cipher Suites for TLS 1.2 and Earlier,18-Aug,https://www.rfc-editor.org/rfc/rfc8422
RFC-8446,The Transport Layer Security (TLS) Protocol Version 1.3,18-Aug,https://www.rfc-editor.org/rfc/rfc8446
RFC-8603,CNSA Suite Certificate and CRL Profile,19-May,https://www.rfc-editor.org/rfc/rfc8603
RFC-8784,Mixing Preshared Keys in IKEv2 for Post-Quantum Security,20-Jun,https://www.rfc-editor.org/rfc/rfc8784
RFC-9151,CNSA Profile for TLS and DTLS 1.2 and 1.3,22-Apr,https://www.rfc-editor.org/rfc/rfc9151
RFC-9152,SODP Server Interfaces for Delivery of Certificates/CRLs/Keys,22-Apr,https://www.rfc-editor.org/rfc/rfc9152
RFC-9206,CNSA Suite Cryptography for IPsec,22-Feb,https://www.rfc-editor.org/rfc/rfc9206
RFC-9212,CNSA Suite Cryptography for Secure Shell,22-Mar,https://www.rfc-editor.org/rfc/rfc9212
IEEE-802.1AE-2018,IEEE Standard for MAC Security,18-Dec,https://standards.ieee.org/ieee/802.1AE/7055/
IEEE-802.1X-2020,IEEE Standard for Port-Based Network Access Control,20-Jan,https://standards.ieee.org/ieee/802.1X/7345/
ISO-9594-8,Public-Key and Attribute Certificate Frameworks,17-May,https://www.iso.org/standard/72557.html
TCG-PC-Client-FIM-v1.0-Rev24,PC Client Platform Firmware Integrity Measurement,19-Dec,https://trustedcomputinggroup.org/wp-content/uploads/TCG-PC-Client-Platform-Firmware-Profile-Version-1.06-Revision-52_pub-3.pdf
TCG-PC-Client-RIM-v0.15,PC Client Reference Integrity Manifest Specification,20-Mar,https://trustedcomputinggroup.org/wp-content/uploads/TCG-PC-Client-Reference-Integrity-Manifest-Specification-Version-1.1-Revision-11_pub.pdf
TCG-Platform-Cert-Profile-v1.1-Rev15,TCG Platform Certificate Profile,19-Feb,https://trustedcomputinggroup.org/wp-content/uploads/TCG_Platform_Certificate_Profile_2.1_Pub.pdf
TCG-RIM-Info-Model-v1.0-Rev0.13,Reference Integrity Manifest Information Model,19-Dec,https://trustedcomputinggroup.org/wp-content/uploads/TCG-Reference-Integrity-Manifest-RIM-Information-Model-Version-1.1-Revision-1.0_pub-1.pdf
UEFI-Spec-v2.4,Unified Extensible Firmware Interface Specification,13-Jun,https://uefi.org/sites/default/files/resources/UEFI_2.4.pdf
FDE-cPP-AA-v2.0,Collaborative PP for Full Disk Encryption - Authorization Acquisition,16-Sep,https://www.commoncriteriaportal.org/files/ppfiles/CPP_FDE_AA_V2.0.pdf
FDE-cPP-EE-v2.0,Collaborative PP for Full Disk Encryption - Encryption Engine,16-Sep,https://www.commoncriteriaportal.org/files/ppfiles/CPP_FDE_EE_V2.0E.pdf
PP-Application-Software-v1.2,Protection Profile for Application Software (File Encryption),16-Apr,https://www.niap-ccevs.org/protectionprofiles
PP-CA,Protection Profile for Certification Authorities,17-Dec,https://www.niap-ccevs.org/protectionprofiles
PP-IPsec-VPN-Client,Protection Profile for IPsec VPN Clients,October 2017 / August 2021,https://www.niap-ccevs.org/protectionprofiles
PP-MDF,Protection Profile for Mobile Device Fundamentals,17-Jun,https://www.niap-ccevs.org/protectionprofiles
PP-Module-FE,PP-Module for File Encryption,19-Jul,https://www.niap-ccevs.org/protectionprofiles
PP-Module-FE-EM,PP-Module for File Encryption Enterprise Management,19-Jul,https://www.niap-ccevs.org/protectionprofiles
PP-OS,Protection Profile for General Purpose Operating Systems,16-Mar,https://www.niap-ccevs.org/protectionprofiles
DoDI-8420.01,"Commercial Wireless LAN Devices, Systems, and Technologies",17-Nov,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/842001p.PDF?ver=st6tPuuI8400xP67wX-c3w%3D%3D
DoDI-8540.01,Cross Domain Policy,17-Aug,https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/854001p.pdf
NSA-CNSA,Guidance on CNSA Cryptography,N/A,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF
NSA-CSS-PM-9-12,Storage Device Declassification,14-Dec,https://www.nsa.gov/portals/75/documents/resources/everyone/media-destruction/PM_9-12_20201204_Storage%20Device%20Sanitization%20and%20Destruction%20Manual.pdf
